['1%', '54.00%', '19.90*'] 
['1%', '54.00%', '20.00*'] 
['1%', '53.00%', '20.10*'] 
['1%', '53.00%', '20.10*'] 
['1%', '53.00%', '20.10*'] 
['1%', '53.00%', '20.00*'] 
['1%', '56.00%', '19.20*'] 
['1%', '56.00%', '19.20*'] 
['1%', '55.00%', '19.20*'] 
['63%', '53.00%', '18.00*'] 
['63%', '53.00%', '18.00*'] 
['63%', '52.00%', '18.00*'] 
['62%', '52.00%', '18.00*'] 
['62%', '52.00%', '17.90*'] 
['62%', '52.00%', '17.90*'] 
['62%', '52.00%', '17.90*'] 
['59%', '52.00%', '17.80*'] 
